stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
33;20;40;30;808114.389;9640107.104;4.82;332.5;40;0.1;0.07;2.1871683389;14.1;1;0.3;0
33;40;60;50;808114.389;9640107.104;4.81;448;42;0.07;0.06;1.6420401338;10.9;1.1;0.1;0
33;60;80;70;808114.389;9640107.104;4.85;535;42;0.08;0.06;1.2694760312;8.7;0.9;0.1;0
33;80;100;90;808114.389;9640107.104;4.86;581.5;42;0.09;0.07;1.1894760312;7.6;0.9;0.4;0
34;0;20;10;808146.691;9640147.179;4.51;403;17;0.14;0.08;2.2179375697;25.7;0.9;0.2;0
34;20;40;30;808146.691;9640147.179;4.58;463.5;19;0.06;0.03;2.0571683389;14.7;0.9;0.1;0
34;40;60;50;808146.691;9640147.179;4.66;522;24;0.07;0.03;2.8320401338;10.4;0.9;0.1;0
34;60;80;70;808146.691;9640147.179;4.88;564.5;23;0.08;0.03;1.4094760312;8.7;0.7;0.1;0
34;80;100;90;808146.691;9640147.179;4.94;593.5;27;0.05;0.02;1.4794760312;8;0.7;0.1;0
35;0;20;10;808174.292;9640128.7;4.19;294.5;13;0.09;0.04;6.1853734671;15.3;0.3;0.1;0
35;20;40;30;808174.292;9640128.7;4.42;384.5;9;0.07;0.03;4.0297324415;12.4;0.3;0.1;0
35;40;60;50;808174.292;9640128.7;4.49;468;10;0.04;0.02;1.5220401338;8.7;0.4;0.1;0
35;60;80;70;808174.292;9640128.7;4.65;535.5;11;0.05;0.02;1.1694760312;6.4;0.4;0.1;0
35;80;100;90;808174.292;9640128.7;4.84;574;11;0.04;0.02;1.4194760312;6.1;0.4;0.1;0
36;0;20;10;808154.795;9640080.288;4.4;303.5;29;0.05;0.04;6.3353734671;14.7;0.5;0.1;0
36;20;40;30;808154.795;9640080.288;4.49;407.5;18;0.04;0.02;3.1646042363;9.6;0.4;0.1;0
36;40;60;50;808154.795;9640080.288;4.67;458;20;0.04;0.02;2.1820401338;8.2;0.4;0.1;0
36;60;80;70;808154.795;9640080.288;4.56;471;24;0.04;0.02;2.2294760312;8.2;0.5;0.1;0.04
36;80;100;90;808154.795;9640080.288;4.59;515.5;29;0.04;0.02;1.6394760312;7.9;0.5;0.1;0
37;0;20;10;808127.047;9640038.336;3.82;287.5;33;0.17;0.11;8.5948272018;18.4;0.4;0.2;0
37;20;40;30;808127.047;9640038.336;4.33;219;50;0.11;0.15;6.1509476031;17.5;0.4;0.4;0
37;40;60;50;808127.047;9640038.336;3.95;297;37;0.06;0.04;4.3517725753;11.8;0.5;0.1;0.07
37;60;80;70;808127.047;9640038.336;4.03;366;31;0.05;0.03;3.6571683389;10.6;0.5;0.1;0
37;80;100;90;808127.047;9640038.336;4.16;466;34;0.08;0.04;2.8446042363;8.8;0.6;0.1;0
38;0;20;10;808097.026;9639997.29;5.02;265;79;1.42;0.15;6.9999888517;16.9;0.7;0.7;0.41
38;20;40;30;808097.026;9639997.29;5.36;253;73;1.43;0.06;5.5971683389;14.2;0.5;0.5;0.22
38;40;60;50;808097.026;9639997.29;5.48;302.5;94;0.88;0.05;4.3694760312;8.6;0.7;0.4;0
